Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Duskmourn,binder,Glimmerlight,DSK,Duskmourn: House of Horror,249,foil,common,1,98777,1071691c-5c65-42d4-ac96-d302185ca678,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Haunted Screen,DSK,Duskmourn: House of Horror,250,normal,uncommon,1,98829,5e7d552f-a7ac-4a49-a582-9d378137005f,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Conductive Machete,DSK,Duskmourn: House of Horror,244,foil,uncommon,1,98958,1cf37c1a-096b-4306-97cf-bc4d4c47d4a1,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Razortrap Gorge,DSK,Duskmourn: House of Horror,267,foil,common,1,98654,98d0d067-b52d-47ec-ba7b-8cfcd716c0e5,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Live or Die,DSK,Duskmourn: House of Horror,107,normal,uncommon,1,99006,cd81e438-e38f-42a1-b677-202dbcb3837c,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Cracked Skull,DSK,Duskmourn: House of Horror,88,normal,common,1,99214,7616ad5e-ed30-4876-8743-6f0f9f143ea1,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Resurrected Cultist,DSK,Duskmourn: House of Horror,115,foil,common,1,98933,e41bd259-e81f-432a-bebf-4c6534f23db7,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Balemurk Leech,DSK,Duskmourn: House of Horror,84,normal,common,1,99016,f0621b32-95c5-4f70-96cf-d46d20efc85d,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Fear of Abduction,DSK,Duskmourn: House of Horror,9,normal,uncommon,1,98949,fc9374be-5e4b-4c23-8b6e-94c03d4f5ef1,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Emerge from the Cocoon,DSK,Duskmourn: House of Horror,5,normal,common,1,98813,3ba16fbf-2d44-4337-87cb-6ff6b84a258a,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Friendly Ghost,DSK,Duskmourn: House of Horror,12,normal,common,1,98792,20e0dba2-d15c-4d55-9b68-00648175e760,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Trapped in the Screen,DSK,Duskmourn: House of Horror,36,foil,common,1,98790,1fe95bfb-8ca7-434f-a2e7-a6b2e699584e,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Grand Entryway // Elegant Rotunda,DSK,Duskmourn: House of Horror,287,normal,common,1,98840,6ef39d0e-4caa-4808-949f-1d75e160dbc3,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Optimistic Scavenger,DSK,Duskmourn: House of Horror,21,foil,uncommon,1,98991,9c72fc6f-6a96-420d-812d-b5cf0f57cc7f,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Unwanted Remake,DSK,Duskmourn: House of Horror,39,normal,uncommon,1,98644,7b54447f-1daf-4352-b5c3-3c0ec8b8f4d0,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Boilerbilges Ripper,DSK,Duskmourn: House of Horror,127,normal,common,1,99066,1a68009c-83cd-455f-81e9-bdd720d23a43,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Most Valuable Slayer,DSK,Duskmourn: House of Horror,144,normal,common,1,98910,c2b7b635-4c72-4129-bf95-1eef05cce3d3,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Glassworks // Shattered Yard,DSK,Duskmourn: House of Horror,137,foil,common,1,98950,fe32f667-8d9f-4414-913e-256cbc2fbc45,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Scorching Dragonfire,DSK,Duskmourn: House of Horror,156,foil,common,1,99284,a55f4f37-796a-4b18-a5ee-1d4f711f19b8,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Untimely Malfunction,DSK,Duskmourn: House of Horror,161,foil,uncommon,1,98864,857bfb0e-17dc-4dda-bc37-3df927a9eae6,0.0,false,false,mint,fr,EUR
Duskmourn,binder,Grab the Prize,DSK,Duskmourn: House of Horror,138,normal,common,1,98823,50895202-f1a1-4840-a11a-55b78b8b5929,0.0,false,false,mint,fr,EUR
Duskmourn,binder,"Altanak, the Thrice-Called",DSK,Duskmourn: House of Horror,166,foil,uncommon,1,98716,807b0674-8eba-4204-b6b6-fa2b785a79e9,0.0,false,false,mint,fr,EUR
