"totalQtyOwned","name","printNumber","finish","variant","expansion","game","condition","language","price","rarity","color","colorIdentity","finishes","types"
"1","Glimmerlight","249","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.11","common","","","Standard, Foil",""
"1","Haunted Screen","250","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.08","uncommon","","","Standard, Foil",""
"1","Conductive Machete","244","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.13","uncommon","","","Standard, Foil",""
"1","Razortrap Gorge","267","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.23","common","","","Standard, Foil",""
"1","Live or Die","107","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.15","uncommon","","","Standard, Foil",""
"1","Cracked Skull","88","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.04","common","","","Standard, Foil",""
"1","Resurrected Cultist","115","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.07","common","","","Standard, Foil",""
"1","Balemurk Leech","84","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.11","common","","","Standard, Foil",""
"1","Fear of Abduction","9","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.13","uncommon","","","Standard, Foil",""
"1","Emerge from the Cocoon","5","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.03","common","","","Standard, Foil",""
"1","Friendly Ghost","12","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.03","common","","","Standard, Foil",""
"1","Trapped in the Screen","36","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.14","common","","","Standard, Foil",""
"1","Grand Entryway // Elegant Rotunda","287","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.08","common","","","Standard, Foil",""
"1","Optimistic Scavenger","21","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.28","uncommon","","","Standard, Foil",""
"1","Unwanted Remake","39","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.14","uncommon","","","Standard, Foil",""
"1","Boilerbilges Ripper","127","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.10","common","","","Standard, Foil",""
"1","Most Valuable Slayer","144","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.03","common","","","Standard, Foil",""
"1","Glassworks // Shattered Yard","137","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.14","common","","","Standard, Foil",""
"1","Scorching Dragonfire","156","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.08","common","","","Foil, Standard",""
"1","Untimely Malfunction","161","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","6.72","uncommon","","","Standard, Foil",""
"1","Grab the Prize","138","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.36","common","","","Standard, Foil",""
"1","Altanak, the Thrice-Called","166","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.65","uncommon","","","Standard, Foil",""
"1","Anthropede","167","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.02","common","","","Standard, Foil",""
"1","Cautious Survivor","172","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.10","common","","","Standard, Foil",""
"1","Cryptid Inspector","174","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.04","common","","","Standard, Foil",""
"1","Manifest Dread","189","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.27","common","","","Standard, Foil",""
"1","Monstrous Emergence","191","Standard","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.11","common","","","Standard, Foil",""
"1","Fear of Failed Tests","55","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.14","uncommon","","","Standard, Foil",""
"1","Ghostly Keybearer","61","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.11","uncommon","","","Standard, Foil",""
"1","Twist Reality","77","Foil","","Duskmourn: House of Horror","Magic: The Gathering","Near Mint","fr","0.12","common","","","Standard, Foil",""
