Card Name,Set Name,Set Code,Card Number,Quantity
Angel of Vitality,Unknown,ANB,1,2
Impassioned Orator,Unknown,ANB,10,3
Prized Unicorn,Unknown,ANB,100,1
Rabid Bite,Unknown,ANB,101,3
Rampaging Brontodon,Unknown,ANB,102,2
Rumbling Baloth,Unknown,ANB,103,2
Sentinel Spider,Unknown,ANB,104,2
Stony Strength,Unknown,ANB,105,2
Wildwood Patrol,Unknown,ANB,108,2
Woodland Mystic,Unknown,ANB,109,2
Inspiring Commander,Unknown,ANB,11,2
World Shaper,Unknown,ANB,110,1
Forest,Unknown,ANB,112,1
Island,Unknown,ANB,113,1
Mountain,Unknown,ANB,114,1
Plains,Unknown,ANB,115,1
Swamp,Unknown,ANB,116,1
Arcane Signet,Unknown,ANB,117,4
Command Tower,Unknown,ANB,118,4
Knight's Pledge,Unknown,ANB,12,2
Leonin Warleader,Unknown,ANB,13,2
Loxodon Line Breaker,Unknown,ANB,14,1
Moorland Inquisitor,Unknown,ANB,15,2
Pacifism,Unknown,ANB,16,3
Sanctuary Cat,Unknown,ANB,17,2
Serra Angel,Unknown,ANB,18,1
Shrine Keeper,Unknown,ANB,19,2
Angelic Guardian,Unknown,ANB,2,1
Spiritual Guardian,Unknown,ANB,21,1
Tactical Advantage,Unknown,ANB,22,4
Cloudkin Seer,Unknown,ANB,25,3
Frilled Sea Serpent,Unknown,ANB,27,1
Glint,Unknown,ANB,28,2
Octoprophet,Unknown,ANB,29,2
Angelic Reward,Unknown,ANB,3,1
Overflowing Insight,Unknown,ANB,30,1
Riddlemaster Sphinx,Unknown,ANB,31,2
Sleep,Unknown,ANB,33,1
Soulblade Djinn,Unknown,ANB,34,2
Sworn Guardian,Unknown,ANB,35,2
Unsummon,Unknown,ANB,36,3
Wall of Runes,Unknown,ANB,37,2
Warden of Evos Isle,Unknown,ANB,38,3
Waterkin Shaman,Unknown,ANB,39,3
Bond of Discipline,Unknown,ANB,4,1
Waterknot,Unknown,ANB,40,3
Windreader Sphinx,Unknown,ANB,41,1
Windstorm Drake,Unknown,ANB,42,2
Winged Words,Unknown,ANB,43,2
Bad Deal,Unknown,ANB,45,1
Compound Fracture,Unknown,ANB,46,4
Cruel Cut,Unknown,ANB,47,1
Demon of Loathing,Unknown,ANB,48,2
Eternal Thirst,Unknown,ANB,49,1
Charmed Stray,Unknown,ANB,5,4
Malakir Cullblade,Unknown,ANB,51,3
Mardu Outrider,Unknown,ANB,52,2
Murder,Unknown,ANB,53,3
Nightmare,Unknown,ANB,54,1
Sanitarium Skeleton,Unknown,ANB,57,3
Savage Gorger,Unknown,ANB,58,3
Confront the Assault,Unknown,ANB,6,1
Sengir Vampire,Unknown,ANB,60,3
Skeleton Archer,Unknown,ANB,61,2
Soulhunter Rakshasa,Unknown,ANB,62,1
Typhoid Rats,Unknown,ANB,63,2
Unlikely Aid,Unknown,ANB,64,3
Vampire Opportunist,Unknown,ANB,65,2
Burn Bright,Unknown,ANB,68,2
Fencing Ace,Unknown,ANB,7,2
Goblin Gang Leader,Unknown,ANB,70,2
Goblin Gathering,Unknown,ANB,71,4
Goblin Trashmaster,Unknown,ANB,72,1
Goblin Tunneler,Unknown,ANB,73,2
Immortal Phoenix,Unknown,ANB,75,1
Inescapable Blaze,Unknown,ANB,76,2
Molten Ravager,Unknown,ANB,78,2
Nest Robber,Unknown,ANB,79,4
Goring Ceratops,Unknown,ANB,8,1
Ogre Battledriver,Unknown,ANB,80,2
Raid Bombardment,Unknown,ANB,82,2
Shock,Unknown,ANB,84,3
Siege Dragon,Unknown,ANB,85,2
Storm Strike,Unknown,ANB,86,2
Tin Street Cadet,Unknown,ANB,87,3
Volcanic Dragon,Unknown,ANB,88,2
Affectionate Indrik,Unknown,ANB,89,2
Hallowed Priest,Unknown,ANB,9,4
Baloth Packhunter,Unknown,ANB,90,4
Colossal Majesty,Unknown,ANB,92,2
Epic Proportions,Unknown,ANB,93,1
Gigantosaurus,Unknown,ANB,96,2
Ilysian Caryatid,Unknown,ANB,98,4
Jungle Delver,Unknown,ANB,99,3
Bristlebud Farmer,Unknown,BIG,17,1
Esoteric Duplicator,Unknown,BIG,5,1
Harvester of Misery,Unknown,BIG,9,1
Nocturnal Hunger,Unknown,BLB,102,2
Persistent Marshstalker,Unknown,BLB,104,1
Psychic Whorl,Unknown,BLB,105,2
Ruthless Negotiation,Unknown,BLB,108,2
Savor,Unknown,BLB,109,3
Scales of Shale,Unknown,BLB,110,2
Stargaze,Unknown,BLB,114,1
Starlit Soothsayer,Unknown,BLB,115,1
Starscape Cleric,Unknown,BLB,116,1
Thornplate Intimidator,Unknown,BLB,117,4
Valley Rotcaller,Unknown,BLB,119,1
Essence Channeler,Unknown,BLB,12,1
Agate Assault,Unknown,BLB,122,1
Alania's Pathmaker,Unknown,BLB,123,2
Brambleguard Captain,Unknown,BLB,127,2
Brazen Collector,Unknown,BLB,128,1
Feather of Flight,Unknown,BLB,13,1
Conduct Electricity,Unknown,BLB,130,2
Emberheart Challenger,Unknown,BLB,133,4
Festival of Embers,Unknown,BLB,134,1
Frilled Sparkshooter,Unknown,BLB,136,3
Heartfire Hero,Unknown,BLB,138,4
Flowerfoot Swordmaster,Unknown,BLB,14,1
Hoarder's Overflow,Unknown,BLB,141,1
Kindlespark Duo,Unknown,BLB,142,1
Might of the Meek,Unknown,BLB,144,2
Quaketusk Boar,Unknown,BLB,146,1
Rabid Gnaw,Unknown,BLB,147,2
Raccoon Rallier,Unknown,BLB,148,3
Roughshod Duo,Unknown,BLB,150,3
Sazacap's Brew,Unknown,BLB,151,2
Season of the Bold,Unknown,BLB,152,1
Steampath Charger,Unknown,BLB,153,3
Sunspine Lynx,Unknown,BLB,155,2
Take Out the Trash,Unknown,BLB,156,3
Teapot Slinger,Unknown,BLB,157,1
Valley Flamecaller,Unknown,BLB,158,2
War Squeak,Unknown,BLB,160,2
Whiskerquill Scribe,Unknown,BLB,161,1
Bakersbane Duo,Unknown,BLB,163,2
Bark-Knuckle Boxer,Unknown,BLB,164,1
Bushy Bodyguard,Unknown,BLB,166,1
Cache Grab,Unknown,BLB,167,1
Intrepid Rabbit,Unknown,BLB,17,4
Druid of the Spade,Unknown,BLB,170,1
Hazardroot Herbalist,Unknown,BLB,174,1
Heaped Harvest,Unknown,BLB,175,1
Hivespine Wolverine,Unknown,BLB,177,1
Hunter's Talent,Unknown,BLB,179,1
Longstalk Brawl,Unknown,BLB,182,1
Mistbreath Elder,Unknown,BLB,184,1
Peerless Recycling,Unknown,BLB,188,2
Stickytongue Sentinel,Unknown,BLB,193,1
Sunshower Druid,Unknown,BLB,195,4
Three Tree Rootweaver,Unknown,BLB,198,3
Lifecreed Duo,Unknown,BLB,20,4
Treetop Sentries,Unknown,BLB,201,3
Wear Down,Unknown,BLB,203,1
"Alania, Divergent Storm",Unknown,BLB,204,2
"Baylen, the Haymaker",Unknown,BLB,205,1
Cindering Cutthroat,Unknown,BLB,208,2
Mabel's Mettle,Unknown,BLB,21,3
Corpseberry Cultivator,Unknown,BLB,210,4
Dreamdew Entrancer,Unknown,BLB,211,1
"Gev, Scaled Scorch",Unknown,BLB,214,1
Head of the Homestead,Unknown,BLB,216,4
"Hugs, Grisly Guardian",Unknown,BLB,218,1
The Infamous Cruelclaw,Unknown,BLB,219,1
Mouse Trapper,Unknown,BLB,22,1
Junkblade Bruiser,Unknown,BLB,220,2
"Mabel, Heir to Cragflame",Unknown,BLB,224,1
Mind Drill Assailant,Unknown,BLB,225,1
Moonrise Cleric,Unknown,BLB,226,1
Plumecreed Mentor,Unknown,BLB,228,1
Pond Prophet,Unknown,BLB,229,3
Nettle Guard,Unknown,BLB,23,2
Seedglaive Mentor,Unknown,BLB,231,1
Tempest Angler,Unknown,BLB,235,3
Veteran Guardmouse,Unknown,BLB,237,4
Vinereap Mentor,Unknown,BLB,238,2
Parting Gust,Unknown,BLB,24,2
Wandertale Mentor,Unknown,BLB,240,1
"Ygra, Eater of All",Unknown,BLB,241,1
"Zoraline, Cosmos Caller",Unknown,BLB,242,1
Barkform Harvester,Unknown,BLB,243,3
Fountainport Bell,Unknown,BLB,245,3
Heirloom Epic,Unknown,BLB,246,1
Short Bow,Unknown,BLB,248,1
Pileated Provisioner,Unknown,BLB,25,2
Three Tree Mascot,Unknown,BLB,251,2
Fabled Passage,Unknown,BLB,252,1
Fountainport,Unknown,BLB,253,1
Hidden Grotto,Unknown,BLB,254,4
Mudflat Village,Unknown,BLB,257,2
Rabbit Response,Unknown,BLB,26,2
Uncharted Haven,Unknown,BLB,261,4
Repel Calamity,Unknown,BLB,27,1
Salvation Swan,Unknown,BLB,28,3
Brave-Kin Duo,Unknown,BLB,3,1
Seasoned Warrenguard,Unknown,BLB,30,1
Shrike Force,Unknown,BLB,31,1
Sonar Strike,Unknown,BLB,32,1
Star Charter,Unknown,BLB,33,1
Starfall Invocation,Unknown,BLB,34,3
Thistledown Players,Unknown,BLB,35,3
Valley Questcaller,Unknown,BLB,36,2
Plains,Unknown,BLB,369,1
Warren Elder,Unknown,BLB,37,1
Plains,Unknown,BLB,370,1
Island,Unknown,BLB,371,1
Island,Unknown,BLB,372,1
Swamp,Unknown,BLB,373,1
Swamp,Unknown,BLB,374,1
Mountain,Unknown,BLB,375,1
Mountain,Unknown,BLB,376,1
Forest,Unknown,BLB,377,1
Forest,Unknown,BLB,378,1
Brightblade Stoat,Unknown,BLB,4,1
Azure Beastbinder,Unknown,BLB,41,1
Bellowing Crier,Unknown,BLB,42,4
Calamitous Tide,Unknown,BLB,43,1
Daring Waverider,Unknown,BLB,44,1
Dazzling Denial,Unknown,BLB,45,1
Dire Downdraft,Unknown,BLB,46,3
Dour Port-Mage,Unknown,BLB,47,1
Builder's Talent,Unknown,BLB,5,1
Gossip's Talent,Unknown,BLB,51,1
Into the Flood Maw,Unknown,BLB,52,1
Kitnap,Unknown,BLB,53,1
Lightshell Duo,Unknown,BLB,56,2
Long River's Pull,Unknown,BLB,58,1
Mind Spiral,Unknown,BLB,59,3
Caretaker's Talent,Unknown,BLB,6,2
Mockingbird,Unknown,BLB,61,1
Nightwhorl Hermit,Unknown,BLB,62,1
Pearl of Wisdom,Unknown,BLB,64,2
Shore Up,Unknown,BLB,69,2
Carrot Cake,Unknown,BLB,7,2
Spellgyre,Unknown,BLB,72,1
Splash Lasher,Unknown,BLB,73,2
Splash Portal,Unknown,BLB,74,1
Sugar Coat,Unknown,BLB,76,1
Thought Shucker,Unknown,BLB,77,1
Crumb and Get It,Unknown,BLB,8,1
Waterspout Warden,Unknown,BLB,80,3
Wishing Well,Unknown,BLB,81,1
Bonebind Orator,Unknown,BLB,84,1
Consumed by Greed,Unknown,BLB,87,2
Daggerfang Duo,Unknown,BLB,89,2
Darkstar Augur,Unknown,BLB,90,2
Diresight,Unknown,BLB,91,2
Early Winter,Unknown,BLB,93,3
Hazel's Nocturne,Unknown,BLB,97,1
Huskburster Swarm,Unknown,BLB,98,2
Aeronaut Cavalry,Unknown,BRO,1,2
Go for the Throat,Unknown,BRO,102,2
Moment of Defiance,Unknown,BRO,108,1
Lay Down Arms,Unknown,BRO,11,2
Overwhelming Remorse,Unknown,BRO,110,2
Powerstone Fracture,Unknown,BRO,112,3
Ravenous Gigamole,Unknown,BRO,113,3
Trench Stalker,Unknown,BRO,116,1
Scrapwork Rager,Unknown,BRO,123,1
Bitter Reunion,Unknown,BRO,127,1
"Feldon, Ronom Excavator",Unknown,BRO,135,1
Horned Stoneseeker,Unknown,BRO,138,1
Mass Production,Unknown,BRO,15,1
Roc Hunter,Unknown,BRO,150,2
Sardian Cliffstomper,Unknown,BRO,151,1
Meticulous Excavation,Unknown,BRO,16,1
Scrapwork Mutt,Unknown,BRO,164,1
Argothian Opportunist,Unknown,BRO,167,1
Blanchwood Prowler,Unknown,BRO,172,3
Burrowing Razormaw,Unknown,BRO,173,2
Bushwhack,Unknown,BRO,174,2
Epic Confrontation,Unknown,BRO,176,3
"Myrel, Shield of Argive",Unknown,BRO,18,1
Gaea's Gift,Unknown,BRO,182,2
Titania's Command,Unknown,BRO,194,1
Haywire Mite,Unknown,BRO,199,1
Simian Simulacrum,Unknown,BRO,205,1
Deathbloom Ritualist,Unknown,BRO,208,1
Prison Sentence,Unknown,BRO,21,3
"Harbin, Vanguard Aviator",Unknown,BRO,212,1
"Mishra, Claimed by Gix",Unknown,BRO,216,1
Skyfisher Spider,Unknown,BRO,221,2
Third Path Iconoclast,Unknown,BRO,223,2
Yotian Tactician,Unknown,BRO,228,2
Recruitment Officer,Unknown,BRO,23,3
Clay Champion,Unknown,BRO,230,1
Aeronaut's Wings,Unknown,BRO,231,1
Cityscape Leveler,Unknown,BRO,233,1
Steel Exemplar,Unknown,BRO,246,1
Stone Retrieval Unit,Unknown,BRO,248,1
Siege Veteran,Unknown,BRO,25,1
Supply Drop,Unknown,BRO,250,1
Swiftgear Drake,Unknown,BRO,251,1
Battlefield Forge,Unknown,BRO,257,1
Fortified Beachhead,Unknown,BRO,262,1
Llanowar Wastes,Unknown,BRO,264,1
Plains,Unknown,BRO,268,1
Plains,Unknown,BRO,269,1
Static Net,Unknown,BRO,27,1
Island,Unknown,BRO,270,1
Island,Unknown,BRO,271,1
Swamp,Unknown,BRO,272,1
Swamp,Unknown,BRO,273,1
Mountain,Unknown,BRO,274,1
Mountain,Unknown,BRO,275,1
Forest,Unknown,BRO,276,1
Forest,Unknown,BRO,277,1
Survivor of Korlis,Unknown,BRO,28,3
Rescue Retriever,Unknown,BRO,288,1
Ambush Paratrooper,Unknown,BRO,3,3
Platoon Dispenser,Unknown,BRO,36,1
Scrapwork Cohort,Unknown,BRO,37,2
Tocasia's Onulet,Unknown,BRO,39,1
Yotian Frontliner,Unknown,BRO,42,4
Defabricate,Unknown,BRO,45,1
Desynchronize,Unknown,BRO,46,2
Fallaji Archaeologist,Unknown,BRO,48,2
Forging the Anchor,Unknown,BRO,50,1
Scatter Ray,Unknown,BRO,61,1
Skystrike Officer,Unknown,BRO,62,1
Stern Lesson,Unknown,BRO,64,1
Zephyr Sentinel,Unknown,BRO,74,3
Coastal Bulwark,Unknown,BRO,76,2
Combat Courier,Unknown,BRO,77,1
In the Trenches,Unknown,BRO,8,1
"Ashnod, Flesh Mechanist",Unknown,BRO,84,1
Ashnod's Intervention,Unknown,BRO,85,2
Emergency Weld,Unknown,BRO,93,1
"Gix, Yawgmoth Praetor",Unknown,BRO,95,1
Gix's Command,Unknown,BRO,97,1
Gixian Infiltrator,Unknown,BRO,98,3
A-Haywire Mite,Unknown,BRO,A-199,1
Ivory Tower,Unknown,BRR,23,1
Liquimetal Coating,Unknown,BRR,28,1
Ornithopter,Unknown,BRR,37,1
Soul-Guide Lantern,Unknown,BRR,54,2
Thorn of Amethyst,Unknown,BRR,60,1
Bone Saw,Unknown,BRR,7,1
Ripclaw Wrangler,Unknown,DFT,101,1
Daring Mechanic,Unknown,DFT,11,1
Wreckage Wickerfolk,Unknown,DFT,110,1
Burner Rocket,Unknown,DFT,114,1
Greasewrench Goblin,Unknown,DFT,132,1
Thunderhead Gunner,Unknown,DFT,148,1
Alacrian Jaguar,Unknown,DFT,152,1
Migrating Ketradon,Unknown,DFT,170,1
Veloheart Bike,Unknown,DFT,184,1
Webstrike Elite,Unknown,DFT,186,1
Boosted Sloop,Unknown,DFT,190,1
Skyserpent Seeker,Unknown,DFT,224,1
Guidelight Matrix,Unknown,DFT,233,1
Marshals' Pathcruiser,Unknown,DFT,236,1
Starting Column,Unknown,DFT,244,1
Wreck Remover,Unknown,DFT,247,1
Avishkar Raceway,Unknown,DFT,249,1
Dismal Backwater,Unknown,DFT,254,1
Scoured Barrens,Unknown,DFT,263,1
Swiftwater Cliffs,Unknown,DFT,265,1
Tranquil Cove,Unknown,DFT,267,1
Willowrush Verge,Unknown,DFT,270,1
